frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
207,1,2054.3837512407717 1103.6808220558178 2561.464910437694 1548.8339663583683,2229.390380859375 1373.7724609375 2429.443359375 1464.5621337890625,0.361269474029541,AP05JEO,0.3079908051792052
208,1,2052.584961516964 1106.4588662353667 2560.6326191075154 1550.6796694106156,2223.8671875 1369.86083984375 2429.86669921875 1464.494140625,0.42090779542922974,AP05JEO,0.28036344536214075
209,1,2052.912628619293 1108.1458880152322 2560.995928633912 1552.6886184845962,2223.7827758789062 1372.3721110026042 2429.4790649414062 1466.2560221354167,0,0,0
210,1,2053.2402957216223 1109.8329097950975 2561.359238160309 1554.6975675585768,2223.6983642578125 1374.8833821614583 2429.0914306640625 1468.0179036458333,0,0,0
211,1,2053.5679628239513 1111.5199315749628 2561.7225476867056 1556.7065166325574,2223.6139526367188 1377.3946533203125 2428.7037963867188 1469.77978515625,0,0,0
212,1,2053.8956299262804 1113.2069533548283 2562.0858572131024 1558.7154657065382,2223.529541015625 1379.9059244791667 2428.316162109375 1471.5416666666667,0,0,0
213,1,2054.2232970286095 1114.8939751346938 2562.449166739499 1560.7244147805188,2223.4451293945312 1382.4171956380208 2427.9285278320312 1473.3035481770833,0,0,0
214,1,2054.5509641309386 1116.5809969145591 2562.812476265896 1562.7333638544994,2223.3607177734375 1384.928466796875 2427.5408935546875 1475.0654296875,0,0,0
215,1,2054.8786312332677 1118.2680186944244 2563.1757857922926 1564.74231292848,2223.2763061523438 1387.4397379557292 2427.1532592773438 1476.8273111979167,0,0,0
216,1,2055.206298335597 1119.95504047429 2563.5390953186893 1566.7512620024606,2223.19189453125 1389.9510091145833 2426.765625 1478.5891927083333,0,0,0
217,1,2055.533965437926 1121.6420622541555 2563.902404845086 1568.7602110764415,2223.1074829101562 1392.4622802734375 2426.3779907226562 1480.35107421875,0,0,0
218,1,2055.861632540255 1123.3290840340208 2564.2657143714828 1570.769160150422,2223.0230712890625 1394.9735514322917 2425.9903564453125 1482.1129557291667,0,0,0
